PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
312814 ; 183880 ; 312750 ; 183840 ; 156 
314788 ; 184960 ; 314720 ; 184920 ; 157 
316892 ; 186040 ; 316754 ; 186000 ; 158 
318836 ; 187080 ; 318772 ; 187040 ; 159 
320836 ; 188160 ; 320768 ; 188120 ; 160 
322876 ; 189240 ; 322736 ; 189200 ; 161 
324802 ; 190280 ; 324734 ; 190240 ; 162 
326802 ; 191400 ; 326742 ; 191360 ; 163 
328846 ; 192560 ; 328780 ; 192520 ; 164 
330916 ; 193760 ; 330786 ; 193720 ; 165 
332814 ; 194880 ; 332760 ; 194840 ; 166 
334826 ; 195920 ; 334756 ; 195880 ; 167 
336944 ; 196960 ; 336804 ; 196920 ; 168 
338894 ; 197960 ; 338822 ; 197920 ; 169 
340868 ; 199000 ; 340802 ; 198960 ; 170 
342882 ; 200080 ; 342820 ; 200040 ; 171 
344942 ; 201160 ; 344802 ; 201120 ; 172 
346902 ; 202240 ; 346834 ; 202200 ; 173 
348852 ; 203360 ; 348792 ; 203320 ; 174 
350892 ; 204480 ; 350828 ; 204440 ; 175 
352904 ; 205600 ; 352844 ; 205560 ; 176 
354918 ; 206680 ; 354854 ; 206640 ; 177 
356872 ; 207800 ; 356814 ; 207760 ; 178 
358936 ; 208960 ; 358874 ; 208920 ; 179 
360924 ; 210120 ; 360858 ; 210080 ; 180 
362940 ; 211120 ; 362796 ; 211080 ; 181 
364962 ; 212160 ; 364888 ; 212120 ; 182 
366932 ; 213200 ; 366864 ; 213160 ; 183 
368918 ; 214240 ; 368850 ; 214200 ; 184 
370978 ; 215320 ; 370844 ; 215280 ; 185 
372914 ; 216400 ; 372846 ; 216360 ; 186 
374936 ; 217520 ; 374870 ; 217480 ; 187 
376932 ; 218600 ; 376868 ; 218560 ; 188 
378952 ; 219720 ; 378890 ; 219680 ; 189 
381006 ; 220800 ; 380874 ; 220760 ; 190 
382938 ; 221880 ; 382876 ; 221840 ; 191 
385000 ; 223040 ; 384870 ; 223000 ; 192 
386982 ; 224200 ; 386922 ; 224160 ; 193 
