sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
267;424432;424350;207920;866,333333333333;424432;0;424350;0;;;;
268;426064;425983;208720;869,666666666667;426064;0;425983;0;;;;
269;427697;427615;209520;873;427697;0;427615;0;;;;
270;429248;429166;210280;876,166666666667;429248;0;429166;0;;;;
271;430717;430636;211000;879,166666666667;430717;0;430636;0;;;;
272;432105;432024;211680;882;432105;0;432023;-1;;;;
273;433575;433493;212400;885;433575;0;433493;0;;;;
274;435044;434962;213120;888;435044;0;434962;0;;;;
275;436513;436432;213840;891;436513;0;436432;0;;;;
276;438064;437983;214600;894,166666666667;438064;0;437983;0;;;;
277;439534;439452;215320;897,166666666667;439534;0;439452;0;;;;
278;441003;440921;216040;900,166666666667;441003;0;440921;0;;;;
279;442636;442554;216840;903,5;442636;0;442554;0;;;;
280;444105;444024;217560;906,5;444105;0;444023;-1;;;;
281;445656;445575;218320;909,666666666667;445656;0;445575;0;;;;
282;447289;447207;219120;913;447289;0;447207;0;;;;
283;448758;448677;219840;916;448758;0;448677;0;;;;
284;450309;450228;220600;919,166666666667;450309;0;450228;0;;;;
285;451860;451779;221360;922,333333333333;451860;0;451779;0;;;;
286;453411;453330;222120;925,5;453411;0;453330;0;;;;
287;454962;454881;222880;928,666666666667;454962;0;454881;0;;;;
288;456595;456513;223680;932;456595;0;456513;0;;;;
289;458228;458146;224480;935,333333333333;458228;0;458146;0;;;;
290;459860;459779;225280;938,666666666667;459860;0;459779;0;;;;
291;461411;461330;226040;941,833333333333;461411;0;461330;0;;;;
292;462799;462717;226720;944,666666666667;462799;0;462717;0;;;;
293;464187;464105;227400;947,5;464187;0;464105;0;;;;
294;465656;465575;228120;950,5;465656;0;465575;0;;;;
295;467126;467044;228840;953,5;467126;0;467044;0;;;;
296;468677;468595;229600;956,666666666667;468677;0;468595;0;;;;
297;470228;470146;230360;959,833333333333;470228;0;470146;0;;;;
298;471697;471615;231080;962,833333333333;471697;0;471615;0;;;;
299;473330;473248;231880;966,166666666667;473330;0;473248;0;;;;
300;474881;474799;232640;969,333333333333;474881;0;474799;0;;;;
301;476432;476350;233400;972,5;476432;0;476350;0;;;;
302;478064;477983;234200;975,833333333333;478064;0;477983;0;;;;
303;479534;479452;234920;978,833333333333;479534;0;479452;0;;;;
304;481085;481003;235680;982;481085;0;481003;0;;;;
305;482717;482636;236480;985,333333333333;482717;0;482636;0;;;;
306;484187;484105;237200;988,333333333333;484187;0;484105;0;;;;
307;485819;485738;238000;991,666666666667;485819;0;485738;0;;;;
308;487452;487370;238800;995;487452;0;487370;0;;;;
309;489085;489003;239600;998,333333333333;489085;0;489003;0;;;;
310;490717;490636;240400;1001,66666666667;490717;0;490636;0;;;;
311;492268;492187;241160;1004,83333333333;492268;0;492187;0;;;;
312;493656;493575;241840;1007,66666666667;493656;0;493575;0;;;;
313;495044;494962;242520;1010,5;495044;0;494962;0;;;;
314;496432;496350;243200;1013,33333333333;496432;0;496350;0;;;;
315;497819;497738;243880;1016,16666666667;497819;0;497738;0;;;;
316;499289;499207;244600;1019,16666666667;499289;0;499207;0;;;;
317;500677;500595;245280;1022;500677;0;500595;0;;;;
318;502146;502064;246000;1025;502146;0;502064;0;;;;
319;503697;503615;246760;1028,16666666667;503697;0;503615;0;;;;
320;505166;505085;247480;1031,16666666667;505166;0;505085;0;;;;
321;506636;506554;248200;1034,16666666667;506636;0;506554;0;;;;
322;508187;508105;248960;1037,33333333333;508187;0;508105;0;;;;
323;509738;509656;249720;1040,5;509738;0;509656;0;;;;
324;511126;511044;250400;1043,33333333333;511126;0;511044;0;;;;
325;512677;512595;251160;1046,5;512677;0;512595;0;;;81,6326530612245;11,76
326;514228;514146;251920;1049,66666666667;514228;0;514146;0;;;105,632653061225;
327;515779;515697;252680;1052,83333333333;515779;0;515697;0;;;;
328;517330;517248;253440;1056;517330;0;517248;0;;;;
329;518962;518881;254240;1059,33333333333;518962;0;518881;0;;;;
330;520595;520513;255040;1062,66666666667;520595;0;520513;0;;;;
331;522228;522146;255840;1066;522228;0;522146;0;;;;
332;523779;523697;256600;1069,16666666667;523779;0;523697;0;;;;
333;525248;525166;257320;1072,16666666667;525248;0;525166;0;;;;
334;526717;526636;258040;1075,16666666667;526717;0;526636;0;;;;
335;528187;528105;258760;1078,16666666667;528187;0;528105;0;;;;
336;529575;529493;259440;1081;529575;0;529493;0;;;;
337;531044;530962;260160;1084;531044;0;530962;0;;;;
338;532595;532513;260920;1087,16666666667;532595;0;532513;0;;;;
339;534064;533983;261640;1090,16666666667;534064;0;533983;0;;;;
340;535615;535534;262400;1093,33333333333;535615;0;535534;0;;;;
341;537166;537085;263160;1096,5;537166;0;537085;0;;;;
342;538717;538636;263920;1099,66666666667;538717;0;538636;0;;;;
343;540268;540187;264680;1102,83333333333;540268;0;540187;0;;;;
344;541901;541819;265480;1106,16666666667;541901;0;541819;0;;;;
345;543370;543289;266200;1109,16666666667;543370;0;543289;0;;;;
346;544921;544840;266960;1112,33333333333;544921;0;544840;0;;;;
347;546472;546391;267720;1115,5;546472;0;546391;0;;;;
348;548024;547942;268480;1118,66666666667;548023;-1;547942;0;;;;
349;549656;549575;269280;1122;549656;0;549575;0;;;;
350;551207;551126;270040;1125,16666666667;551207;0;551126;0;;;;
