PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
635600 ; 245280 ; 635498 ; 245240 ; 317 
637592 ; 246000 ; 637488 ; 245960 ; 318 
639670 ; 246760 ; 639568 ; 246720 ; 319 
641696 ; 247480 ; 641522 ; 247440 ; 320 
643636 ; 248200 ; 643538 ; 248160 ; 321 
645664 ; 248960 ; 645562 ; 248920 ; 322 
647768 ; 249720 ; 647592 ; 249680 ; 323 
649610 ; 250400 ; 649436 ; 250360 ; 324 
651630 ; 251160 ; 651532 ; 251120 ; 325 
653624 ; 251920 ; 653526 ; 251880 ; 326 
655680 ; 252680 ; 655584 ; 252640 ; 327 
657626 ; 253440 ; 657534 ; 253400 ; 328 
659710 ; 254240 ; 659544 ; 254200 ; 329 
661704 ; 255040 ; 661614 ; 255000 ; 330 
663764 ; 255840 ; 663598 ; 255800 ; 331 
665670 ; 256600 ; 665574 ; 256560 ; 332 
667694 ; 257320 ; 667592 ; 257280 ; 333 
669718 ; 258040 ; 669616 ; 258000 ; 334 
671794 ; 258760 ; 671614 ; 258720 ; 335 
673702 ; 259440 ; 673598 ; 259400 ; 336 
675690 ; 260160 ; 675588 ; 260120 ; 337 
677748 ; 260920 ; 677648 ; 260880 ; 338 
679752 ; 261640 ; 679578 ; 261600 ; 339 
681752 ; 262400 ; 681656 ; 262360 ; 340 
683728 ; 263160 ; 683632 ; 263120 ; 341 
685772 ; 263920 ; 685676 ; 263880 ; 342 
687704 ; 264680 ; 687608 ; 264640 ; 343 
689764 ; 265480 ; 689666 ; 265440 ; 344 
691752 ; 266200 ; 691652 ; 266160 ; 345 
693754 ; 266960 ; 693658 ; 266920 ; 346 
695750 ; 267720 ; 695652 ; 267680 ; 347 
697788 ; 268480 ; 697694 ; 268440 ; 348 
699802 ; 269280 ; 699710 ; 269240 ; 349 
701758 ; 270040 ; 701668 ; 270000 ; 350 
703736 ; 270840 ; 703646 ; 270800 ; 351 
705784 ; 271640 ; 705690 ; 271600 ; 352 
707784 ; 272400 ; 707672 ; 272360 ; 353 
