sector;SCR read;SCR_int;SCR_ext;;;;;;;Byte offset rec;PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR;;;;;;;2;16;44100
201;142634807;475449;107;475454,571428571;5,57142857142026;78;;;;402984;403062;233000;402926;232960;;;;;;;;;
202;143320843;477736;43;477740,285714286;4,28571428568102;53;;;;404989;405042;234120;404980;234080;;;;;;;;;
203;143983007;479943;107;479944,367346939;1,36734693875769;22;;;;406994;407016;235200;406952;235160;;;;;;;;;
204;144644614;482148;214;482148,448979592;0,448979591892567;3;;;;408999;409002;236280;408938;236240;;;;;;;;;
205;145353707;484512;107;484515,795918367;3,79591836733744;50;;;;411004;411054;237440;410992;237400;;;;;;;;;
206;146039314;486797;214;486801,510204082;4,5102040815982;59;;;;413009;413068;238560;413006;238520;;;;;;;;;
207;146772878;489242;278;489250,489795918;8,48979591834359;112;;;;415014;415126;239760;414994;239720;;;;;;;;;
208;147459943;491533;43;491536,204081633;3,20408163260436;39;;;;417019;417058;240880;416994;240840;;;;;;;;;
209;148096864;493656;64;493658,653061225;2,65306122455513;38;;;;419024;419062;241920;418988;241880;;;;;;;;;
210;148708500;495695;0;495699,469387755;4,46938775508897;69;;;;421029;421098;242920;421026;242880;;;;;;;;;
211;149297635;497658;235;497658,653061225;0,653061224496923;2;;;;423034;423036;243880;422964;243840;;;;;;;;;
212;149931900;499773;0;499781,102040816;8,10204081633128;111;;;;425039;425150;244920;425010;244880;;;;;;;;;
213;150545550;501818;150;501821,918367347;3,91836734698154;48;;;;427044;427092;245920;427020;245880;;;;;;;;;
214;151182814;503942;214;503944,367346939;2,36734693875769;31;;;;429049;429080;246960;429012;246920;;;;;;;;;
215;151843778;506145;278;506148,448979592;3,44897959189257;42;;;;431054;431096;248040;431026;248000;;;;;;;;;
216;152480314;508267;214;508270,897959184;3,89795918366872;45;;;;433059;433104;249080;432970;249040;;;;;;;;;
217;153117621;510392;21;510393,346938776;1,34693877550308;12;;;;435064;435076;250120;435010;250080;;;;;;;;;
218;153802328;512674;128;512679,06122449;5,06122448976385;63;;;;437069;437132;251240;437064;251200;;;;;;;;;
219;154462393;514874;193;514883,142857143;9,14285714284051;116;;;;439074;439190;252320;439054;252280;;;;;;;;;
220;155126014;517086;214;517087,224489796;1,22448979597539;3;;;;441079;441082;253400;441022;253360;;;;;;;;;
221;155834250;519447;150;519454,571428571;7,57142857142026;104;;;;443084;443188;254560;443052;254520;;;;;;;;;
222;156521443;521738;43;521740,285714286;2,28571428568102;25;;;;445089;445114;255680;445060;255640;;;;;;;;;
223;157206835;524022;235;524026;4;44;;;;447094;447138;256800;446994;256760;;;;;;;;;
224;157819757;526065;257;526066,816326531;1,81632653065026;15;;;;449099;449114;257800;448978;257760;;;;;;;;;
225;158456293;528187;193;528189,265306122;2,2653061223682;18;;;;451104;451122;258840;451054;258800;;;;;;;;;
226;159093514;530311;214;530311,714285714;0,714285714318976;3;;;;453109;453112;259880;453046;259840;;;;;;;;;
