PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
775940 ; 384400 ; 775800 ; 384360 ; 387 
777944 ; 385360 ; 777644 ; 385320 ; 388 
780052 ; 386480 ; 779914 ; 386440 ; 389 
782030 ; 387440 ; 781890 ; 387400 ; 390 
783966 ; 388480 ; 783836 ; 388440 ; 391 
786074 ; 389520 ; 785936 ; 389480 ; 392 
788034 ; 390480 ; 787734 ; 390440 ; 393 
790016 ; 391440 ; 789842 ; 391400 ; 394 
792252 ; 392400 ; 791930 ; 392360 ; 395 
793992 ; 393120 ; 793804 ; 393080 ; 396 
796034 ; 393920 ; 795828 ; 393880 ; 397 
798030 ; 394640 ; 797838 ; 394600 ; 398 
800082 ; 395440 ; 799902 ; 395400 ; 399 
802158 ; 396240 ; 801818 ; 396200 ; 400 
804050 ; 397040 ; 803878 ; 397000 ; 401 
805992 ; 397840 ; 805822 ; 397800 ; 402 
808022 ; 398720 ; 807850 ; 398680 ; 403 
810118 ; 399520 ; 809950 ; 399480 ; 404 
812072 ; 400400 ; 811918 ; 400360 ; 405 
814296 ; 401360 ; 813978 ; 401320 ; 406 
816032 ; 402160 ; 815878 ; 402120 ; 407 
818046 ; 403120 ; 817890 ; 403080 ; 408 
820058 ; 404000 ; 819908 ; 403960 ; 409 
822036 ; 404960 ; 821886 ; 404920 ; 410 
824048 ; 405840 ; 823732 ; 405800 ; 411 
826150 ; 406880 ; 826004 ; 406840 ; 412 
828118 ; 407760 ; 827800 ; 407720 ; 413 
830084 ; 408720 ; 829934 ; 408680 ; 414 
832192 ; 409680 ; 831880 ; 409640 ; 415 
834154 ; 410640 ; 834006 ; 410600 ; 416 
836278 ; 411600 ; 835960 ; 411560 ; 417 
838080 ; 412480 ; 837940 ; 412440 ; 418 
840348 ; 413520 ; 840030 ; 413480 ; 419 
842130 ; 414400 ; 841984 ; 414360 ; 420 
844354 ; 415440 ; 844034 ; 415400 ; 421 
846126 ; 416320 ; 845980 ; 416280 ; 422 
848312 ; 417360 ; 848000 ; 417320 ; 423 
850186 ; 418320 ; 850044 ; 418280 ; 424 
852202 ; 419280 ; 851900 ; 419240 ; 425 
854178 ; 420320 ; 854040 ; 420280 ; 426 
856200 ; 421280 ; 856062 ; 421240 ; 427 
858134 ; 422320 ; 857998 ; 422280 ; 428 
860226 ; 423360 ; 860096 ; 423320 ; 429 
862374 ; 424400 ; 862060 ; 424360 ; 430 
864266 ; 425280 ; 864088 ; 425240 ; 431 
866168 ; 426080 ; 865996 ; 426040 ; 432 
868428 ; 426960 ; 868098 ; 426920 ; 433 
870150 ; 427680 ; 869978 ; 427640 ; 434 
872188 ; 428560 ; 872024 ; 428520 ; 435 
874180 ; 429440 ; 874018 ; 429400 ; 436 
876314 ; 430320 ; 876148 ; 430280 ; 437 
878284 ; 431200 ; 878124 ; 431160 ; 438 
880418 ; 432080 ; 880086 ; 432040 ; 439 
882190 ; 432880 ; 882028 ; 432840 ; 440 
